COUNTRY_ISO3;COUNTRY_NAME_FR;COUNTRY_VALUE;COUNTRY_NAME_EN;COUNTRY_VALUE_EN;COUNTRY_NAME_PT;COUNTRY_VALUE_PT;COUNTRY_NAME_AR;COUNTRY_VALUE_AR
DZA;Algérie;DZA | Algérie;Algeria;DZA | Algeria;Argélia;DZA | Argélia;الجزائر;DZA | الجزائر
AGO;Angola;AGO | Angola;Angola;AGO | Angola;Angola;AGO | Angola;أنغولا;AGO | أنغولا
BEN;Bénin;BEN | Bénin;Benin;BEN | Benin;Benim;BEN | Benim;بنين;BEN | بنين
BWA;Botswana;BWA | Botswana;Botswana;BWA | Botswana;Botsuana;BWA | Botsuana;بوتسوانا;BWA | بوتسوانا
BFA;Burkina Faso;BFA | Burkina Faso;Burkina Faso;BFA | Burkina Faso;Burkina Faso;BFA | Burkina Faso;بوركينا فاسو;BFA | بوركينا فاسو
BDI;Burundi;BDI | Burundi;Burundi;BDI | Burundi;Burundi;BDI | Burundi;بوروندي;BDI | بوروندي
CMR;Cameroun;CMR | Cameroun;Cameroon;CMR | Cameroon;Camarões;CMR | Camarões;الكاميرون;CMR | الكاميرون
CPV;Cabo Verde;CPV | Cabo Verde;Cabo Verde;CPV | Cabo Verde;Cabo Verde;CPV | Cabo Verde;الرأس الأخضر;CPV | الرأس الأخضر
CAF;République centrafricaine;CAF | République centrafricaine;Central African Republic;CAF | Central African Republic;República Centro-Africana;CAF | República Centro-Africana;جمهورية أفريقيا الوسطى;CAF | جمهورية أفريقيا الوسطى
TCD;Tchad;TCD | Tchad;Chad;TCD | Chad;Chade;TCD | Chade;تشاد;TCD | تشاد
COM;Comores;COM | Comores;Comoros;COM | Comoros;Comores;COM | Comores;جزر القمر;COM | جزر القمر
COG;Congo;COG | Congo;Republic of the Congo;COG | Republic of the Congo;República do Congo;COG | República do Congo;جمهورية الكونغو;COG | جمهورية الكونغو
CIV;Côte d'Ivoire;CIV | Côte d'Ivoire;Côte d'Ivoire;CIV | Côte d'Ivoire;Costa do Marfim;CIV | Costa do Marfim;كوت ديفوار;CIV | كوت ديفوار
COD;République démocratique du Congo;COD | République démocratique du Congo;Democratic Republic of the Congo;COD | Democratic Republic of the Congo;República Democrática do Congo;COD | República Democrática do Congo;جمهورية الكونغو الديمقراطية;COD | جمهورية الكونغو الديمقراطية
DJI;Djibouti;DJI | Djibouti;Djibouti;DJI | Djibouti;Djibuti;DJI | Djibuti;جيبوتي;DJI | جيبوتي
EGY;Egypte;EGY | Egypte;Egypt;EGY | Egypt;Egito;EGY | Egito;مصر;EGY | مصر
GNQ;Guinée équatoriale;GNQ | Guinée équatoriale;Equatorial Guinea;GNQ | Equatorial Guinea;Guiné Equatorial;GNQ | Guiné Equatorial;غينيا الاستوائية;GNQ | غينيا الاستوائية
ERI;Érythrée;ERI | Érythrée;Eritrea;ERI | Eritrea;Eritreia;ERI | Eritreia;إريتريا;ERI | إريتريا
ETH;Ethiopie;ETH | Ethiopie;Ethiopia;ETH | Ethiopia;Etiópia;ETH | Etiópia;إثيوبيا;ETH | إثيوبيا
GAB;Gabon;GAB | Gabon;Gabon;GAB | Gabon;Gabão;GAB | Gabão;الغابون;GAB | الغابون
GMB;Gambie;GMB | Gambie;Gambia;GMB | Gambia;Gâmbia;GMB | Gâmbia;غامبيا;GMB | غامبيا
GHA;Ghana;GHA | Ghana;Ghana;GHA | Ghana;Gana;GHA | Gana;غانا;GHA | غانا
GIN;Guinée;GIN | Guinée;Guinea;GIN | Guinea;Guiné;GIN | Guiné;غينيا;GIN | غينيا
GNB;Guinée-Bissau;GNB | Guinée-Bissau;Guinea-Bissau;GNB | Guinea-Bissau;Guiné-Bissau;GNB | Guiné-Bissau;غينيا بيساو;GNB | غينيا بيساو
